"numNodes","treatmentID","algorithm","removeOverlap","time","layerCount","displacement","pathLength","overflowSpace","overlapCount","overlapSpace","overDensitySpace","weightedAllocatedSpace"
30,4,"overlap",,1.6886801999999999,3.5,1269.7,1896.3,0.7,0,0,0,1175.5
30,5,"overlap",false,1.5866126999999997,3.5,0,0,23.1,40.4,572.15,0,1175.5
40,0,"none",false,0.0224004,1,0,0,19,101.1,1698.5,1058.3,0
40,1,"none",,0.3967883000000001,1,10258.2,10258.2,906.55,0,0,1058.3,0
40,2,"simple",,1.1161992,4,696.6,1152.6,1.4,0,0,95.7,2093.7
40,3,"simple",false,0.0879915,4,0,0,19,60.5,146.5,95.7,2093.7
40,4,"overlap",,3.1484860999999995,4.9,1409.7,2766.7,0.95,0,0,0,2589.6
40,5,"overlap",false,2.0895934,4.9,0,0,19.05,68,784.6,0,2589.6
50,0,"none",false,0.0272417,1,0,0,26.15,158.5,2781.35,1417.8,0
50,1,"none",,0.34004829999999997,1,17013.9,17013.9,1235.35,0,0,1417.8,0
50,2,"simple",,0.8118674,5,941,1886,12.45,0,0,181.6,3511.1
50,3,"simple",false,0.0582118,5,0,0,26.15,96.7,200.75,181.6,3511.1
50,4,"overlap",,4.238057499999999,6.2,2434,4509.4,1.25,0,0,0,4810.2
50,5,"overlap",false,2.8977166000000003,6.2,0,0,26.15,108.7,1362.85,0,4810.2
60,0,"none",false,0.030037700000000007,1,0,0,40.05,230.9,4065.75,1828.1,0
60,1,"none",,0.21774909999999997,1,26419.8,26419.8,1617,0,0,1828.1,0
60,2,"simple",,1.0767747,5.9,1288.7,3616.1,39.3,0,0,370.4,5336.7
60,3,"simple",false,0.0814243,5.9,0,0,40.1,137.3,239.6,370.4,5336.7
60,4,"overlap",,6.717662299999999,8.2,2815.5,6032.9,1.7,0,0,0,8512.7
60,5,"overlap",false,4.498773000000001,8.2,0,0,40.5,148.7,1656.7,0,8512.7
70,0,"none",false,0.031661499999999995,1,0,0,44.2,316,5568.75,2210.7,0
70,1,"none",,0.7472898999999998,1,37264.1,37264.1,1969.25,0,0,2210.7,0
70,2,"simple",,0.9653205999999999,6.9,1677.5,4993.3,105.25,0,0,571.3,7493.6
70,3,"simple",false,0.08608039999999999,6.9,0,0,44.2,186.3,285.95,571.3,7493.6
70,4,"overlap",,9.3862655,10.6,3901,8929,2.25,0,0,0,14467.5
70,5,"overlap",false,8.4219821,10.6,0,0,44.5,210.6,2307.3,0,14467.5
